timestamp,price,quantity,buyer,seller,spread
2032,100.81,1,17,5,0.8200000000000074
2032,100.81,2,17,5,0.8200000000000074
2034,99.54,2,26,11,0.8200000000000074
2036,99.54,1,26,20,0.8200000000000074
2038,100.81,2,54,5,0.8200000000000074
2041,100.81,1,33,5,0.8200000000000074
2044,99.54,3,36,29,0.8200000000000074
2044,99.54,1,10,29,0.8200000000000074
2047,100.81,4,33,49,0.8200000000000074
2048,100.81,1,39,5,0.8200000000000074
2052,99.54,1,10,37,0.8200000000000074
2053,100.81,4,31,5,0.8200000000000074
2056,100.81,1,0,40,0.8200000000000074
2056,100.81,1,0,10,0.8200000000000074
2056,99.54,3,10,24,0.8200000000000074
2056,100.81,1,40,10,0.8200000000000074
2059,99.54,4,6,18,0.8200000000000074
2061,99.54,1,6,52,0.8200000000000074
2065,99.54,4,6,30,0.8200000000000074
2066,100.81,3,44,10,0.8200000000000074
2066,100.81,1,44,51,0.8200000000000074
2067,99.54,1,6,37,0.8200000000000074
2067,99.54,1,5,37,0.8200000000000074
2068,99.54,4,5,20,0.8200000000000074
2069,99.54,1,6,35,0.8200000000000074
2071,100.81,3,33,8,0.8200000000000074
2071,100.81,2,58,8,0.8200000000000074
2071,100.81,1,58,8,0.8200000000000074
2073,100.81,1,39,8,0.8200000000000074
2075,99.54,4,6,37,0.8200000000000074
2075,100.81,3,17,8,0.8200000000000074
2075,100.81,1,17,5,0.8200000000000074
2075,99.54,2,9,43,0.8200000000000074
2077,100.81,3,31,5,0.8200000000000074
2081,99.54,2,9,0,0.8200000000000074
2084,100.81,1,16,5,0.8200000000000074
2084,100.81,1,16,17,0.8200000000000074
2086,100.81,2,58,6,0.8200000000000074
2089,100.81,2,0,6,0.8200000000000074
2089,100.81,1,49,6,0.8200000000000074
2089,100.81,2,49,5,0.8200000000000074
2092,99.54,1,9,21,0.8200000000000074
2092,99.54,2,4,21,0.8200000000000074
2092,99.54,1,4,25,0.8200000000000074
2097,99.54,2,4,32,0.8200000000000074
2097,99.54,1,4,32,0.8200000000000074
2099,100.81,3,33,5,0.8200000000000074
2099,100.82000000000001,3,27,28,0.8300000000000125
2100,100.82000000000001,3,31,4,0.8300000000000125
2100,99.54,4,4,52,0.8300000000000125
2103,99.54,4,10,32,0.8300000000000125
2105,99.54,1,10,51,0.8300000000000125
2105,99.54,2,10,51,0.8300000000000125
2109,99.54,2,10,13,0.8300000000000125
2110,100.82000000000001,2,0,4,0.8300000000000125
2111,99.54,1,10,32,0.8300000000000125
2112,100.82000000000001,1,31,9,0.8300000000000125
2113,100.82000000000001,4,27,9,0.8300000000000125
2116,100.82000000000001,1,17,8,0.8300000000000125
2119,99.54,4,6,11,0.8300000000000125
2120,99.54,1,6,32,0.8300000000000125
2120,99.54,3,6,32,0.8300000000000125
2122,100.82000000000001,3,44,8,0.8300000000000125
2124,99.54,1,6,15,0.8300000000000125
2126,100.82000000000001,1,39,8,0.8300000000000125
2131,100.82000000000001,4,33,5,0.8300000000000125
2133,99.54,1,6,51,0.8300000000000125
2133,99.54,2,6,51,0.8300000000000125
2135,100.82000000000001,1,0,5,0.8300000000000125
2135,100.82000000000001,1,0,8,0.8300000000000125
2137,100.82000000000001,3,17,8,0.8300000000000125
2140,99.54,2,6,0,0.8300000000000125
2141,99.54,1,6,11,0.8300000000000125
2141,99.54,1,8,11,0.8300000000000125
2142,100.82000000000001,1,34,8,0.8300000000000125
2143,99.54,1,8,51,0.8300000000000125
2144,100.82000000000001,2,27,8,0.8300000000000125
2146,100.82000000000001,1,49,8,0.8300000000000125
2148,100.82000000000001,2,39,8,0.8300000000000125
2153,99.54,3,8,36,0.8300000000000125
2154,99.54,2,6,29,0.8300000000000125
2154,99.54,2,6,0,0.8300000000000125
2155,100.82000000000001,1,28,5,0.8300000000000125
2156,100.82000000000001,1,33,5,0.8300000000000125
2156,99.54,1,6,15,0.8300000000000125
2158,99.54,2,10,37,0.8300000000000125
2161,100.82000000000001,3,22,5,0.8300000000000125
2161,100.82000000000001,1,22,8,0.8300000000000125
2161,99.54,1,10,52,0.8300000000000125
2169,100.82000000000001,1,22,8,0.8300000000000125
2176,99.54,2,10,43,0.8300000000000125
2176,99.54,1,6,43,0.8300000000000125
2178,99.54,4,6,21,0.8300000000000125
2179,100.82000000000001,2,57,8,0.8300000000000125
2181,99.54,4,6,35,0.8300000000000125
2194,100.82000000000001,1,27,8,0.8300000000000125
2194,100.82000000000001,2,27,8,0.8300000000000125
2195,100.82000000000001,2,34,8,0.8300000000000125
2195,99.57000000000001,1,8,25,0.8300000000000125
2197,99.57000000000001,1,8,35,0.8300000000000125
2198,100.82000000000001,1,17,8,0.8300000000000125
2198,100.82000000000001,3,17,6,0.8300000000000125
2198,100.82000000000001,2,31,6,0.8300000000000125
2198,100.82000000000001,1,31,6,0.8300000000000125
2200,100.82000000000001,2,28,6,0.8300000000000125
2203,100.82000000000001,1,34,6,0.8300000000000125
2203,99.58,2,8,29,0.8300000000000125
2204,99.58,2,8,30,0.8300000000000125
2207,100.82000000000001,1,39,6,0.8300000000000125
2207,100.82000000000001,1,39,8,0.8300000000000125
2209,99.58,1,8,0,0.8300000000000125
2209,99.57000000000001,1,8,0,0.8300000000000125
2211,100.82000000000001,1,22,8,0.8300000000000125
