timestamp,order_id,agent_id,type,price,quantity,filled
54,237903272,31,LIMIT_SELL,101.14,4,0
55,478689798,5,LIMIT_BUY,99.27,5,0
55,841939013,1,LIMIT_SELL,101.4,5,0
55,766779853,10,LIMIT_BUY,99.47,5,0
55,285624531,3,LIMIT_SELL,101.02,5,0
55,238732536,5,LIMIT_SELL,100.73,5,0
55,689017678,8,LIMIT_SELL,100.55,5,0
55,956697992,6,LIMIT_SELL,100.62,5,0
55,774879285,7,LIMIT_SELL,101.44,5,0
55,806617694,9,LIMIT_SELL,100.97,5,0
55,44687777,7,LIMIT_BUY,98.56,5,0
55,774517622,4,LIMIT_SELL,100.96000000000001,5,0
55,321232949,9,LIMIT_BUY,99.03,5,0
55,804257709,2,LIMIT_SELL,101.33,5,0
55,128036069,1,LIMIT_BUY,98.60000000000001,5,0
55,464916031,4,LIMIT_BUY,99.04,5,0
55,632056818,2,LIMIT_BUY,98.67,5,0
55,757882360,3,LIMIT_BUY,98.98,5,0
55,329154022,10,LIMIT_SELL,100.53,5,0
55,230633179,36,LIMIT_BUY,99.53,3,0
55,629550143,6,LIMIT_BUY,99.38,5,0
55,740600116,8,LIMIT_BUY,99.45,5,0
56,150307404,53,LIMIT_BUY,98.96000000000001,2,0
56,458193744,56,LIMIT_SELL,100.51,2,0
57,953636955,55,LIMIT_BUY,99.76,2,0
57,886511711,28,LIMIT_SELL,100.7,2,0
57,350087263,23,LIMIT_BUY,101.10000000000001,0,2
57,930709170,46,LIMIT_BUY,100.99000000000001,0,2
57,814644488,58,LIMIT_SELL,100.93,4,0
57,726157886,40,LIMIT_SELL,101.01,3,0
57,596100534,45,LIMIT_BUY,99.72,4,0
57,41555759,49,LIMIT_SELL,101.03,4,0
57,397830800,39,LIMIT_BUY,99.3,4,0
57,962015756,11,LIMIT_SELL,100.19,3,0
58,325423554,27,LIMIT_SELL,100.73,3,0
58,273421515,19,LIMIT_BUY,99.05,4,0
58,616387977,42,LIMIT_BUY,100.15,1,0
58,139610651,34,LIMIT_SELL,100.56,3,0
58,372822803,50,LIMIT_BUY,98.61,4,0
59,975018833,48,LIMIT_SELL,100.85000000000001,4,0
59,849814126,17,LIMIT_SELL,100.41,2,0
60,263785918,2,LIMIT_SELL,101.41,5,0
60,629601924,1,LIMIT_SELL,101.48,5,0
60,748408697,6,LIMIT_SELL,100.71000000000001,5,0
60,415611962,4,LIMIT_BUY,99.12,5,0
60,502340577,5,LIMIT_SELL,100.81,5,0
60,710350953,4,LIMIT_SELL,101.04,5,0
60,67605436,2,LIMIT_BUY,98.75,5,0
60,944686874,60,LIMIT_SELL,101.14,1,0
60,287106604,10,LIMIT_SELL,100.63,5,0
60,452661528,9,LIMIT_SELL,101.05,5,0
60,775272191,47,LIMIT_SELL,101.12,1,0
60,337849881,6,LIMIT_BUY,99.45,5,0
60,407285834,8,LIMIT_BUY,99.51,5,0
60,549205098,7,LIMIT_SELL,101.52,5,0
60,100191247,7,LIMIT_BUY,98.64,5,0
60,360426693,9,LIMIT_BUY,99.11,5,0
60,601444145,10,LIMIT_BUY,99.53,5,0
60,389845848,8,LIMIT_SELL,100.65,5,0
60,655302315,3,LIMIT_SELL,101.10000000000001,5,0
60,451901911,1,LIMIT_BUY,98.68,5,0
60,410339656,3,LIMIT_BUY,99.06,5,0
60,573946949,5,LIMIT_BUY,99.35000000000001,5,0
61,930071159,30,LIMIT_BUY,99.96000000000001,1,0
61,797229083,32,LIMIT_BUY,100.13,2,0
61,998874276,26,LIMIT_BUY,99.37,1,0
62,836770044,38,LIMIT_BUY,99.38,4,0
62,428751858,0,MARKET_BUY,,0,2
62,833775991,21,LIMIT_BUY,99.13,2,0
63,911380272,49,LIMIT_SELL,101.02,1,0
63,722017169,13,LIMIT_SELL,99.26,0,2
63,92995509,53,LIMIT_BUY,99.24000000000001,1,0
63,125402413,57,LIMIT_SELL,100.88,1,0
63,584630995,58,LIMIT_SELL,101.09,3,0
63,909637596,16,LIMIT_SELL,101.36,1,0
